candidate_id,retrieval_score,relevance_score,total_fam_score,total_concepts,unique_fams,avg_concepts_per_fam,largest_fam_size,largest_fam,score_search_engine,score_vector_database,score_retrieval_algorithm,score_ranking_technique,score_representation_technique,score_retrieval_concept,score_recommendation_concept,score_evaluation_concept,count_search_engine,count_vector_database,count_retrieval_algorithm,count_ranking_technique,count_representation_technique,count_retrieval_concept,count_recommendation_concept,count_evaluation_concept,profile_class,largest_fam_score_pct
CAND_0094759,100.0,0.9350000023841858,278.0,18,6,3.0,7,retrieval_concept,0.0,44.0,24.0,16.0,22.0,98.0,0.0,74.0,0,3,2,1,1,7,0,4,Balanced,0.35251798561151076
CAND_0055905,100.0,0.8899999856948853,263.0,18,8,2.25,7,retrieval_concept,28.0,12.0,26.0,12.0,18.0,96.0,15.0,56.0,2,1,2,1,1,7,1,3,Balanced,0.3650190114068441
CAND_0077337,100.0,0.8949999809265137,281.0,17,7,2.4285714285714284,6,retrieval_concept,14.0,28.0,16.0,0.0,22.0,90.0,53.0,58.0,1,2,1,0,1,6,3,3,Balanced,0.3202846975088968
CAND_0041611,98.0,0.9200000166893005,272.0,18,7,2.5714285714285716,6,retrieval_concept,14.0,40.0,30.0,12.0,20.0,82.0,0.0,74.0,1,3,2,1,1,6,0,4,Balanced,0.3014705882352941
CAND_0079387,100.0,0.8400000333786011,266.0,19,8,2.375,8,retrieval_concept,26.0,24.0,16.0,14.0,16.0,96.0,38.0,36.0,2,2,1,1,1,8,2,2,Moderately Concentrated,0.3609022556390977
CAND_0008425,100.0,0.8400000333786011,223.0,14,7,2.0,4,retrieval_concept,0.0,26.0,12.0,16.0,14.0,66.0,53.0,36.0,0,2,1,1,1,4,3,2,Balanced,0.29596412556053814
CAND_0046064,100.0,0.9300000071525574,302.0,20,8,2.5,6,retrieval_concept,28.0,28.0,28.0,14.0,14.0,86.0,32.0,72.0,2,2,2,1,1,6,2,4,Balanced,0.2847682119205298
CAND_0033861,100.0,0.8849999904632568,310.0,21,8,2.625,6,retrieval_concept,14.0,56.0,12.0,14.0,14.0,86.0,60.0,54.0,1,4,1,1,1,6,4,3,Balanced,0.27741935483870966
CAND_0092278,100.0,0.9750000238418579,329.0,22,8,2.75,7,retrieval_concept,14.0,26.0,24.0,12.0,16.0,96.0,51.0,90.0,1,2,2,1,1,7,3,5,Balanced,0.2917933130699088
CAND_0068811,100.0,0.8400000333786011,228.0,15,7,2.142857142857143,5,retrieval_concept,14.0,44.0,0.0,12.0,20.0,72.0,30.0,36.0,1,3,0,1,1,5,2,2,Balanced,0.3157894736842105
CAND_0030953,100.0,0.8050000071525574,252.0,18,8,2.25,7,retrieval_concept,12.0,52.0,12.0,14.0,16.0,94.0,30.0,22.0,1,4,1,1,1,7,2,1,Balanced,0.373015873015873
CAND_0080766,100.0,0.8849999904632568,209.0,14,7,2.0,5,retrieval_concept,28.0,14.0,12.0,0.0,12.0,74.0,15.0,54.0,2,1,1,0,1,5,1,3,Balanced,0.35406698564593303
CAND_0046525,96.0,0.8999999761581421,234.0,16,7,2.2857142857142856,5,retrieval_concept,14.0,26.0,24.0,12.0,18.0,68.0,0.0,72.0,1,2,2,1,1,5,0,4,Balanced,0.2905982905982906
CAND_0044883,98.0,0.8250000476837158,200.0,14,6,2.3333333333333335,7,retrieval_concept,12.0,24.0,16.0,0.0,18.0,94.0,0.0,36.0,1,2,1,0,1,7,0,2,Moderately Concentrated,0.47
CAND_0081846,100.0,0.8899999856948853,294.0,19,8,2.375,7,retrieval_concept,14.0,26.0,30.0,16.0,18.0,100.0,34.0,56.0,1,2,2,1,1,7,2,3,Balanced,0.3401360544217687
CAND_0086022,100.0,0.9300000071525574,286.0,19,8,2.375,6,retrieval_concept,14.0,26.0,24.0,12.0,22.0,82.0,34.0,72.0,1,2,2,1,1,6,2,4,Balanced,0.2867132867132867
CAND_0005649,100.0,0.8400000333786011,244.0,17,7,2.4285714285714284,7,retrieval_concept,12.0,38.0,12.0,0.0,14.0,98.0,34.0,36.0,1,3,1,0,1,7,2,2,Moderately Concentrated,0.4016393442622951
CAND_0018499,100.0,0.8999999761581421,309.0,19,7,2.7142857142857144,5,retrieval_concept,0.0,56.0,32.0,18.0,18.0,76.0,49.0,60.0,0,4,2,1,1,5,3,3,Balanced,0.2459546925566343
CAND_0086151,100.0,0.7950000166893005,238.0,16,8,2.0,6,retrieval_concept,30.0,26.0,16.0,12.0,16.0,82.0,38.0,18.0,2,2,1,1,1,6,2,1,Balanced,0.3445378151260504
CAND_0010685,96.0,0.809999942779541,182.0,13,6,2.1666666666666665,7,retrieval_concept,16.0,12.0,12.0,12.0,0.0,94.0,0.0,36.0,1,1,1,1,0,7,0,2,Moderately Concentrated,0.5164835164835165
CAND_0037000,100.0,0.7950000166893005,164.0,11,6,1.8333333333333333,5,retrieval_concept,0.0,30.0,14.0,12.0,18.0,72.0,0.0,18.0,0,2,1,1,1,5,0,1,Moderately Concentrated,0.43902439024390244
CAND_0007009,100.0,0.75,210.0,15,6,2.5,7,retrieval_concept,26.0,40.0,16.0,14.0,22.0,92.0,0.0,0.0,2,3,1,1,1,7,0,0,Moderately Concentrated,0.4380952380952381
CAND_0060054,100.0,0.800000011920929,214.0,14,7,2.0,6,retrieval_concept,16.0,30.0,12.0,0.0,12.0,86.0,38.0,20.0,1,2,1,0,1,6,2,1,Moderately Concentrated,0.40186915887850466
CAND_0007412,98.0,0.7800000309944153,194.0,12,7,1.7142857142857142,4,retrieval_concept,0.0,34.0,14.0,12.0,22.0,60.0,34.0,18.0,0,2,1,1,1,4,2,1,Balanced,0.30927835051546393
CAND_0043228,100.0,0.7950000166893005,194.0,14,6,2.3333333333333335,7,retrieval_concept,26.0,26.0,12.0,16.0,0.0,96.0,0.0,18.0,2,2,1,1,0,7,0,1,Moderately Concentrated,0.4948453608247423
CAND_0061265,100.0,0.7950000166893005,208.0,15,7,2.142857142857143,7,retrieval_concept,12.0,40.0,12.0,16.0,14.0,96.0,0.0,18.0,1,3,1,1,1,7,0,1,Moderately Concentrated,0.46153846153846156
CAND_0044855,100.0,0.7950000166893005,260.0,19,8,2.375,8,retrieval_concept,26.0,42.0,12.0,14.0,20.0,98.0,30.0,18.0,2,3,1,1,1,8,2,1,Moderately Concentrated,0.3769230769230769
CAND_0051292,100.0,0.75,178.0,14,6,2.3333333333333335,8,retrieval_concept,16.0,28.0,12.0,12.0,14.0,96.0,0.0,0.0,1,2,1,1,1,8,0,0,Moderately Concentrated,0.5393258426966292
CAND_0041568,100.0,0.7950000166893005,230.0,15,7,2.142857142857143,6,retrieval_concept,0.0,44.0,14.0,12.0,16.0,88.0,38.0,18.0,0,3,1,1,1,6,2,1,Moderately Concentrated,0.3826086956521739
CAND_0031593,96.0,0.7649999856948853,182.0,12,8,1.5,4,retrieval_concept,14.0,12.0,14.0,12.0,20.0,54.0,38.0,18.0,1,1,1,1,1,4,2,1,Balanced,0.2967032967032967
CAND_0041610,100.0,0.7950000166893005,202.0,13,8,1.625,4,retrieval_concept,28.0,12.0,14.0,18.0,18.0,60.0,34.0,18.0,2,1,1,1,1,4,2,1,Balanced,0.297029702970297
CAND_0028793,98.0,0.7800000309944153,192.0,14,7,2.0,7,retrieval_concept,12.0,24.0,12.0,14.0,18.0,94.0,0.0,18.0,1,2,1,1,1,7,0,1,Moderately Concentrated,0.4895833333333333
CAND_0027801,100.0,0.7950000166893005,202.0,14,6,2.3333333333333335,7,retrieval_concept,28.0,32.0,14.0,14.0,0.0,96.0,0.0,18.0,2,2,1,1,0,7,0,1,Moderately Concentrated,0.4752475247524752
CAND_0041669,100.0,0.7950000166893005,230.0,16,6,2.6666666666666665,6,retrieval_concept,0.0,68.0,0.0,12.0,16.0,86.0,30.0,18.0,0,5,0,1,1,6,2,1,Balanced,0.3739130434782609
CAND_0026532,100.0,0.7950000166893005,220.0,15,7,2.142857142857143,6,retrieval_concept,12.0,44.0,12.0,0.0,16.0,88.0,30.0,18.0,1,3,1,0,1,6,2,1,Moderately Concentrated,0.4
CAND_0096172,100.0,0.7950000166893005,224.0,16,7,2.2857142857142856,7,retrieval_concept,30.0,26.0,12.0,0.0,12.0,96.0,30.0,18.0,2,2,1,0,1,7,2,1,Moderately Concentrated,0.42857142857142855
CAND_0064326,100.0,0.7950000166893005,176.0,12,6,2.0,5,retrieval_concept,0.0,40.0,14.0,14.0,14.0,76.0,0.0,18.0,0,3,1,1,1,5,0,1,Moderately Concentrated,0.4318181818181818
CAND_0054123,100.0,0.7950000166893005,220.0,16,7,2.2857142857142856,7,retrieval_concept,12.0,40.0,12.0,0.0,12.0,96.0,30.0,18.0,1,3,1,0,1,7,2,1,Moderately Concentrated,0.43636363636363634
CAND_0076251,100.0,0.800000011920929,174.0,12,6,2.0,6,retrieval_concept,16.0,26.0,12.0,14.0,0.0,86.0,0.0,20.0,1,2,1,1,0,6,0,1,Moderately Concentrated,0.4942528735632184
CAND_0071974,90.0,0.7699999809265137,272.0,17,8,2.125,4,retrieval_concept,14.0,44.0,14.0,16.0,18.0,64.0,64.0,38.0,1,3,1,1,1,4,4,2,Balanced,0.23529411764705882
CAND_0005260,100.0,0.8849999904632568,223.0,15,7,2.142857142857143,6,retrieval_concept,0.0,12.0,24.0,12.0,16.0,90.0,15.0,54.0,0,1,2,1,1,6,1,3,Moderately Concentrated,0.40358744394618834
CAND_0081686,100.0,0.7950000166893005,216.0,15,8,1.875,6,retrieval_concept,12.0,30.0,12.0,12.0,16.0,86.0,30.0,18.0,1,2,1,1,1,6,2,1,Moderately Concentrated,0.39814814814814814
CAND_0075574,100.0,0.7950000166893005,232.0,16,8,2.0,5,retrieval_concept,28.0,40.0,14.0,12.0,14.0,72.0,34.0,18.0,2,3,1,1,1,5,2,1,Balanced,0.3103448275862069
CAND_0088025,92.0,0.7450000047683716,189.0,11,8,1.375,4,retrieval_concept,14.0,18.0,14.0,18.0,20.0,62.0,21.0,22.0,1,1,1,1,1,4,1,1,Balanced,0.328042328042328
CAND_0036863,98.0,0.7350000143051147,154.0,11,6,1.8333333333333333,4,retrieval_concept,14.0,40.0,14.0,14.0,14.0,58.0,0.0,0.0,1,3,1,1,1,4,0,0,Balanced,0.37662337662337664
CAND_0083307,100.0,0.75,200.0,15,6,2.5,8,retrieval_concept,12.0,42.0,12.0,18.0,18.0,98.0,0.0,0.0,1,3,1,1,1,8,0,0,Moderately Concentrated,0.49
CAND_0098846,92.0,0.7400000095367432,158.0,11,6,1.8333333333333333,4,retrieval_concept,0.0,26.0,0.0,12.0,14.0,52.0,34.0,20.0,0,2,0,1,1,4,2,1,Balanced,0.3291139240506329
CAND_0094056,100.0,0.7950000166893005,192.0,14,7,2.0,6,retrieval_concept,12.0,40.0,16.0,14.0,14.0,78.0,0.0,18.0,1,3,1,1,1,6,0,1,Moderately Concentrated,0.40625
CAND_0057563,96.0,0.7649999856948853,218.0,16,8,2.0,7,retrieval_concept,30.0,12.0,12.0,12.0,12.0,92.0,30.0,18.0,2,1,1,1,1,7,2,1,Moderately Concentrated,0.42201834862385323
CAND_0016163,96.0,0.7699999809265137,162.0,12,6,2.0,5,retrieval_concept,12.0,40.0,12.0,0.0,14.0,64.0,0.0,20.0,1,3,1,0,1,5,0,1,Moderately Concentrated,0.3950617283950617
CAND_0027691,100.0,0.7950000166893005,220.0,15,8,1.875,6,retrieval_concept,12.0,26.0,12.0,16.0,14.0,88.0,34.0,18.0,1,2,1,1,1,6,2,1,Moderately Concentrated,0.4
CAND_0066376,100.0,0.7950000166893005,216.0,14,8,1.75,6,retrieval_concept,12.0,16.0,16.0,14.0,12.0,90.0,38.0,18.0,1,1,1,1,1,6,2,1,Moderately Concentrated,0.4166666666666667
CAND_0001610,98.0,0.7850000262260437,212.0,15,7,2.142857142857143,6,retrieval_concept,12.0,44.0,12.0,0.0,12.0,82.0,30.0,20.0,1,3,1,0,1,6,2,1,Moderately Concentrated,0.3867924528301887
CAND_0058575,92.0,0.7350000143051147,194.0,14,7,2.0,6,retrieval_concept,12.0,28.0,12.0,0.0,14.0,76.0,34.0,18.0,1,2,1,0,1,6,2,1,Moderately Concentrated,0.3917525773195876
CAND_0029367,100.0,0.75,206.0,14,6,2.3333333333333335,7,retrieval_concept,14.0,34.0,14.0,0.0,14.0,96.0,34.0,0.0,1,2,1,0,1,7,2,0,Moderately Concentrated,0.46601941747572817
CAND_0075249,100.0,0.7950000166893005,222.0,16,8,2.0,6,retrieval_concept,12.0,40.0,16.0,14.0,12.0,80.0,30.0,18.0,1,3,1,1,1,6,2,1,Balanced,0.36036036036036034
CAND_0050454,96.0,0.7199999690055847,158.0,11,5,2.2,6,retrieval_concept,14.0,32.0,18.0,12.0,0.0,82.0,0.0,0.0,1,2,1,1,0,6,0,0,Moderately Concentrated,0.5189873417721519
CAND_0093912,100.0,0.75,216.0,15,7,2.142857142857143,7,retrieval_concept,16.0,26.0,12.0,18.0,14.0,96.0,34.0,0.0,1,2,1,1,1,7,2,0,Moderately Concentrated,0.4444444444444444
CAND_0030348,98.0,0.7800000309944153,198.0,14,7,2.0,7,retrieval_concept,16.0,12.0,12.0,0.0,16.0,94.0,30.0,18.0,1,1,1,0,1,7,2,1,Moderately Concentrated,0.47474747474747475
CAND_0020877,100.0,0.75,202.0,15,5,3.0,6,retrieval_concept,30.0,66.0,12.0,0.0,14.0,80.0,0.0,0.0,2,5,1,0,1,6,0,0,Moderately Concentrated,0.39603960396039606
CAND_0084819,100.0,0.75,198.0,14,7,2.0,6,retrieval_concept,14.0,26.0,14.0,12.0,14.0,84.0,34.0,0.0,1,2,1,1,1,6,2,0,Moderately Concentrated,0.42424242424242425
CAND_0070398,100.0,0.7950000166893005,226.0,15,8,1.875,7,retrieval_concept,14.0,18.0,18.0,14.0,14.0,96.0,34.0,18.0,1,1,1,1,1,7,2,1,Moderately Concentrated,0.4247787610619469
CAND_0036184,100.0,0.75,162.0,11,5,2.2,6,retrieval_concept,14.0,32.0,14.0,0.0,14.0,88.0,0.0,0.0,1,2,1,0,1,6,0,0,Moderately Concentrated,0.5432098765432098
CAND_0099401,76.0,0.6649999618530273,198.0,13,7,1.8571428571428572,5,retrieval_concept,0.0,14.0,14.0,12.0,16.0,74.0,30.0,38.0,0,1,1,1,1,5,2,2,Balanced,0.37373737373737376
CAND_0069905,96.0,0.7199999690055847,222.0,16,7,2.2857142857142856,7,retrieval_concept,14.0,40.0,14.0,14.0,14.0,92.0,34.0,0.0,1,3,1,1,1,7,2,0,Moderately Concentrated,0.4144144144144144
CAND_0013613,92.0,0.7400000095367432,190.0,14,7,2.0,6,retrieval_concept,12.0,26.0,12.0,0.0,12.0,78.0,30.0,20.0,1,2,1,0,1,6,2,1,Moderately Concentrated,0.4105263157894737
CAND_0052335,98.0,0.7350000143051147,116.0,8,4,2.0,5,retrieval_concept,0.0,12.0,0.0,16.0,14.0,74.0,0.0,0.0,0,1,0,1,1,5,0,0,Highly Concentrated,0.6379310344827587
CAND_0053695,94.0,0.75,210.0,15,8,1.875,6,retrieval_concept,12.0,26.0,12.0,12.0,14.0,82.0,34.0,18.0,1,2,1,1,1,6,2,1,Moderately Concentrated,0.3904761904761905
CAND_0079064,98.0,0.7350000143051147,198.0,14,6,2.3333333333333335,6,retrieval_concept,26.0,28.0,12.0,0.0,14.0,84.0,34.0,0.0,2,2,1,0,1,6,2,0,Moderately Concentrated,0.42424242424242425
CAND_0044222,100.0,0.7950000166893005,194.0,14,5,2.8,7,retrieval_concept,26.0,40.0,16.0,0.0,0.0,94.0,0.0,18.0,2,3,1,0,0,7,0,1,Moderately Concentrated,0.4845360824742268
CAND_0039383,98.0,0.7850000262260437,192.0,13,6,2.1666666666666665,7,retrieval_concept,16.0,16.0,12.0,0.0,0.0,94.0,34.0,20.0,1,1,1,0,0,7,2,1,Moderately Concentrated,0.4895833333333333
CAND_0030827,100.0,0.75,196.0,13,6,2.1666666666666665,6,retrieval_concept,12.0,30.0,16.0,16.0,0.0,88.0,34.0,0.0,1,2,1,1,0,6,2,0,Moderately Concentrated,0.4489795918367347
CAND_0062247,100.0,0.75,184.0,14,5,2.8,8,retrieval_concept,12.0,40.0,16.0,16.0,0.0,100.0,0.0,0.0,1,3,1,1,0,8,0,0,Moderately Concentrated,0.5434782608695652
CAND_0020708,98.0,0.7350000143051147,146.0,11,5,2.2,6,retrieval_concept,16.0,26.0,12.0,14.0,0.0,78.0,0.0,0.0,1,2,1,1,0,6,0,0,Moderately Concentrated,0.5342465753424658
CAND_0018722,92.0,0.6899999976158142,180.0,13,6,2.1666666666666665,6,retrieval_concept,12.0,26.0,12.0,14.0,0.0,82.0,34.0,0.0,1,2,1,1,0,6,2,0,Moderately Concentrated,0.45555555555555555
CAND_0003977,100.0,0.75,158.0,11,6,1.8333333333333333,6,retrieval_concept,14.0,14.0,14.0,14.0,14.0,88.0,0.0,0.0,1,1,1,1,1,6,0,0,Moderately Concentrated,0.5569620253164557
CAND_0076904,100.0,0.75,206.0,15,6,2.5,7,retrieval_concept,26.0,26.0,12.0,12.0,0.0,96.0,34.0,0.0,2,2,1,1,0,7,2,0,Moderately Concentrated,0.46601941747572817
CAND_0054394,94.0,0.7049999833106995,158.0,12,6,2.0,6,retrieval_concept,12.0,26.0,12.0,12.0,14.0,82.0,0.0,0.0,1,2,1,1,1,6,0,0,Moderately Concentrated,0.5189873417721519
CAND_0051630,98.0,0.7350000143051147,198.0,14,7,2.0,6,retrieval_concept,30.0,12.0,12.0,12.0,14.0,84.0,34.0,0.0,2,1,1,1,1,6,2,0,Moderately Concentrated,0.42424242424242425
CAND_0040887,94.0,0.7049999833106995,190.0,14,6,2.3333333333333335,6,retrieval_concept,12.0,42.0,12.0,0.0,14.0,76.0,34.0,0.0,1,3,1,0,1,6,2,0,Moderately Concentrated,0.4
CAND_0006557,76.0,0.6150000095367432,230.0,16,7,2.2857142857142856,5,retrieval_concept,28.0,56.0,0.0,12.0,12.0,74.0,30.0,18.0,2,4,0,1,1,5,2,1,Balanced,0.3217391304347826
CAND_0018549,76.0,0.6150000095367432,184.0,13,7,1.8571428571428572,3,vector_database,28.0,42.0,0.0,12.0,12.0,42.0,30.0,18.0,2,3,0,1,1,3,2,1,Balanced,0.22826086956521738
CAND_0070202,76.0,0.6150000095367432,186.0,12,7,1.7142857142857142,5,retrieval_concept,0.0,14.0,14.0,16.0,16.0,78.0,30.0,18.0,0,1,1,1,1,5,2,1,Moderately Concentrated,0.41935483870967744
CAND_0065878,76.0,0.6150000095367432,160.0,10,5,2.0,5,retrieval_concept,0.0,0.0,0.0,16.0,12.0,76.0,38.0,18.0,0,0,0,1,1,5,2,1,Moderately Concentrated,0.475
CAND_0050876,76.0,0.6200000047683716,166.0,11,7,1.5714285714285714,3,retrieval_concept,14.0,28.0,0.0,12.0,14.0,44.0,34.0,20.0,1,2,0,1,1,3,2,1,Balanced,0.26506024096385544
CAND_0093547,76.0,0.6150000095367432,186.0,12,6,2.0,4,vector_database,0.0,54.0,0.0,16.0,12.0,52.0,34.0,18.0,0,4,0,1,1,3,2,1,Balanced,0.2903225806451613
CAND_0070485,94.0,0.7049999833106995,170.0,12,6,2.0,6,retrieval_concept,12.0,16.0,12.0,12.0,0.0,84.0,34.0,0.0,1,1,1,1,0,6,2,0,Moderately Concentrated,0.49411764705882355
CAND_0061655,76.0,0.6150000095367432,184.0,13,8,1.625,3,retrieval_concept,28.0,28.0,14.0,12.0,12.0,42.0,30.0,18.0,2,2,1,1,1,3,2,1,Balanced,0.22826086956521738
CAND_0036437,68.0,0.5550000071525574,164.0,11,5,2.2,4,retrieval_concept,28.0,42.0,0.0,14.0,0.0,62.0,0.0,18.0,2,3,0,1,0,4,0,1,Balanced,0.3780487804878049
CAND_0047721,76.0,0.6150000095367432,206.0,14,7,2.0,5,retrieval_concept,0.0,42.0,14.0,16.0,12.0,74.0,30.0,18.0,0,3,1,1,1,5,2,1,Balanced,0.3592233009708738
CAND_0011162,64.0,0.5699999928474426,192.0,13,6,2.1666666666666665,4,vector_database,14.0,56.0,0.0,12.0,14.0,60.0,0.0,36.0,1,4,0,1,1,4,0,2,Balanced,0.2916666666666667
CAND_0024466,70.0,0.5699999928474426,150.0,10,7,1.4285714285714286,3,retrieval_concept,0.0,14.0,14.0,12.0,12.0,42.0,38.0,18.0,0,1,1,1,1,3,2,1,Balanced,0.28
CAND_0011687,74.0,0.6000000238418579,188.0,13,7,1.8571428571428572,4,retrieval_concept,14.0,40.0,0.0,12.0,16.0,56.0,32.0,18.0,1,3,0,1,1,4,2,1,Balanced,0.2978723404255319
CAND_0007411,74.0,0.6000000238418579,186.0,12,8,1.5,4,retrieval_concept,14.0,16.0,14.0,16.0,12.0,64.0,32.0,18.0,1,1,1,1,1,4,2,1,Balanced,0.34408602150537637
CAND_0032515,64.0,0.5699999928474426,152.0,10,5,2.0,5,retrieval_concept,14.0,14.0,0.0,12.0,0.0,76.0,0.0,36.0,1,1,0,1,0,5,0,2,Moderately Concentrated,0.5
CAND_0014440,66.0,0.5400000214576721,134.0,9,5,1.8,3,vector_database,14.0,42.0,0.0,14.0,0.0,46.0,0.0,18.0,1,3,0,1,0,3,0,1,Balanced,0.31343283582089554
CAND_0072660,66.0,0.5400000214576721,134.0,9,5,1.8,4,retrieval_concept,28.0,14.0,0.0,14.0,0.0,60.0,0.0,18.0,2,1,0,1,0,4,0,1,Moderately Concentrated,0.44776119402985076
CAND_0012957,74.0,0.6000000238418579,160.0,11,7,1.5714285714285714,4,retrieval_concept,0.0,14.0,14.0,12.0,16.0,56.0,30.0,18.0,0,1,1,1,1,4,2,1,Balanced,0.35
CAND_0005538,52.0,0.5699999928474426,166.0,11,4,2.75,4,retrieval_concept,0.0,0.0,0.0,0.0,12.0,52.0,66.0,36.0,0,0,0,0,1,4,4,2,Balanced,0.3132530120481928
CAND_0077285,60.0,0.5400000214576721,136.0,9,4,2.25,3,vector_database,0.0,44.0,0.0,0.0,18.0,38.0,0.0,36.0,0,3,0,0,1,3,0,2,Balanced,0.3235294117647059
